país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afganistán,AFG,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1258,,,,,,11.6319,15.3429
Afganistán,AFG,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7924,,,,,,9.4613,12.5973
Afganistán,AFG,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7049,
Afganistán,AFG,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,,,,,21.6861,,,,,,,,,,,,17.3859,,,,,,,,,,,52.5213,54.6933,56.7369,59.7218,,,
Alemania,DEU,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,97.754,96.9009,96.9334,97.0852,96.7395,96.7073,96.5238,96.7136,96.7309,96.6718,96.7991,96.7161,96.5136,,96.3323,,95.6804,,
Alemania,DEU,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,,,,78.4841,77.6237,77.8465,79.1142,80.1642,80.6188,81.128,81.7229,82.0474,82.3083,82.9972,83.0834,83.0064,,83.4613,,83.6961,,
Alemania,DEU,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,,,,,27.1606,27.7128,28.8161,29.8396,30.2569,31.1495,31.7936,32.3349,33.4242,34.4101,35.6527,,35.5882,,39.535,,
Alemania,DEU,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,,,,,71.7364,73.2707,72.713,72.548,74.3583,,,,,,,,,,,,,,,,,,,,,,,,62.8736,
Argelia,DZA,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,,,46.5909,,47.305,,,,,,,,,,,45.0608,,,
Argelia,DZA,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,,,,,,24.1529,,25.4165,,,,,,,,,,,24.1083,,,
Argelia,DZA,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argelia,DZA,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,61.94,58.756,57.8834,60.4996,59.6563,59.2465,58.2546,57.296,51.9102,,54.8068,51.6274,55.0627,61.6824,63.1408,64.6198,75.9314,69.5372,63.5637,58.3144,64.713,60.1535,72.1476,115.6586,89.6741,81.3654,76.3357,77.5487,,78.4607,77.2315,,84.5234,76.0697
Arabia Saudita,SAU,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,42.7527,,,,48.7981,,,,,,,,,66.5089,,,,68.8482,,,77.2074,,
Arabia Saudita,SAU,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,30.0666,,,,34.1683,,,,,,,,,48.8906,,,,53.88,,,62.2888,,
Arabia Saudita,SAU,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,12.0413,,,,19.5033,,,,,,,,,25.888,,,,31.4776,,,37.923,,
Arabia Saudita,SAU,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,,,,,,,,,,,,,,,,,85.9565,,85.3003,85.9257,,93.5365,90.8255,,,,,,,,,,,
Argentina,ARG,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,37.3563,,,,,,,,,,45.8917,,56.3757,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,34.2934,,42.1566,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,,,,,,,,,,,80.9476,86.4881,87.1578,86.8861,82.514,80.8255,81.1039,77.7056,75.7737,76.6346,76.8056,80.5695,84.556,85.9533,88.3374,88.4963,90.4596,90.7401,91.813,93.5833,95.9255,95.4993,108.7882,
Australia,AUS,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,89.7376,90.8543,91.1407,91.7246,92.3344,92.2387,93.1995,93.6081,94.4489,91.0814,91.8277,92.6489,92.764,93.0057,93.4391,93.9455,94.5065,,
Australia,AUS,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.UP.ZS,,,,,,,,,,,,,,,,,,64.121,65.0339,66.7138,68.1898,70.089,70.8557,72.799,74.0617,76.483,72.0374,73.596,75.5476,76.418,77.2614,78.3258,79.0479,80.053,,
Australia,AUS,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.PO.ZS,,,,,,,,,,,,,,,,,,33.365,34.2045,35.7298,36.7352,39.3569,40.5558,41.7957,42.7027,46.462,41.6412,44.2573,45.3548,46.4734,47.667,48.3027,49.6182,51.5606,,
Australia,AUS,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",SE.SEC.CMPT.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",SE.SEC.CUAT.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.5548,,,,,,,,
