país,factor_(serie),Año,Valor
Afganistán,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,13.366866666666667
Afganistán,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,10.616999999999999
Afganistán,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,4.7049
Afganistán,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,43.79088333333333
Alemania,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,96.72012666666666
Alemania,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,81.1535
Alemania,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,32.12878461538462
Alemania,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,71.25
Argelia,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,46.318900000000006
Argelia,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,24.559233333333335
Argelia,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,67.66487419354839
Arabia Saudita,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,60.82306
Arabia Saudita,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,45.85886000000001
Arabia Saudita,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,25.36664
Arabia Saudita,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,88.30890000000001
Argentina,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,46.54123333333333
Argentina,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,38.224999999999994
Argentina,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,86.41582608695653
Australia,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,92.50032941176471
Australia,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,72.9784705882353
Australia,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,42.69310588235294
Austria,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,99.5548
Austria,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,75.182
Austria,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,25.728407142857144
Austria,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,100.00025555555555
Brasil,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,52.38358095238095
Brasil,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,39.1687
Brasil,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,37.1231
Burkina Faso,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,9.027000000000001
Burkina Faso,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,4.25642
Burkina Faso,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1987,1.278275
Burkina Faso,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1987,17.844092857142858
China,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,51.32776666666666
