país,factor_(serie),Año,Valor
Afganistán,"Esperanza de vida al nacer, total (años)",1987,39.844
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1987,43.453
Afganistán,"Esperanza de vida al nacer, varones (años)",1987,36.739
Alemania,"Esperanza de vida al nacer, total (años)",1987,74.807
Alemania,"Esperanza de vida al nacer, mujeres (años)",1987,78.103
Alemania,"Esperanza de vida al nacer, varones (años)",1987,71.668
Argelia,"Esperanza de vida al nacer, total (años)",1987,65.83
Argelia,"Esperanza de vida al nacer, mujeres (años)",1987,67.239
Argelia,"Esperanza de vida al nacer, varones (años)",1987,64.439
Arabia Saudita,"Esperanza de vida al nacer, total (años)",1987,67.4
Arabia Saudita,"Esperanza de vida al nacer, mujeres (años)",1987,69.187
Arabia Saudita,"Esperanza de vida al nacer, varones (años)",1987,66.1
Argentina,"Esperanza de vida al nacer, total (años)",1987,70.564
Argentina,"Esperanza de vida al nacer, mujeres (años)",1987,74.004
Argentina,"Esperanza de vida al nacer, varones (años)",1987,67.148
Australia,"Esperanza de vida al nacer, total (años)",1987,76.1517
Australia,"Esperanza de vida al nacer, mujeres (años)",1987,79.44
Australia,"Esperanza de vida al nacer, varones (años)",1987,73.02
Austria,"Esperanza de vida al nacer, total (años)",1987,74.7683
Austria,"Esperanza de vida al nacer, mujeres (años)",1987,78.2
Austria,"Esperanza de vida al nacer, varones (años)",1987,71.5
Brasil,"Esperanza de vida al nacer, total (años)",1987,65.08
Brasil,"Esperanza de vida al nacer, mujeres (años)",1987,67.715
Brasil,"Esperanza de vida al nacer, varones (años)",1987,62.559
Burkina Faso,"Esperanza de vida al nacer, total (años)",1987,49.058
Burkina Faso,"Esperanza de vida al nacer, mujeres (años)",1987,50.033
Burkina Faso,"Esperanza de vida al nacer, varones (años)",1987,48.03
China,"Esperanza de vida al nacer, total (años)",1987,67.288
China,"Esperanza de vida al nacer, mujeres (años)",1987,69.795
China,"Esperanza de vida al nacer, varones (años)",1987,64.912
Canadá,"Esperanza de vida al nacer, total (años)",1987,76.7788
Canadá,"Esperanza de vida al nacer, mujeres (años)",1987,80.19
Canadá,"Esperanza de vida al nacer, varones (años)",1987,73.53
Camboya,"Esperanza de vida al nacer, total (años)",1987,53.454
