país,factor_(serie),Año,Valor
Afganistán,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,2.46361
Afganistán,Gasto de bolsillo per cápita (US$ actuales),1987,37.732205
Afganistán,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,37.80017
Alemania,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3312.234576190476
Alemania,Gasto de bolsillo per cápita (US$ actuales),1987,581.818380952381
Alemania,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1012.6097714285713
Argelia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,140.64696190476192
Argelia,Gasto de bolsillo per cápita (US$ actuales),1987,57.970419047619046
Argelia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,61.20041428571428
Arabia Saudita,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,524.8199789473684
Arabia Saudita,Gasto de bolsillo per cápita (US$ actuales),1987,119.28836842105262
Arabia Saudita,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,230.47056315789473
Argentina,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,537.2746285714286
Argentina,Gasto de bolsillo per cápita (US$ actuales),1987,242.2972714285714
Argentina,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,338.817380952381
Australia,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3110.275166666667
Australia,Gasto de bolsillo per cápita (US$ actuales),1987,781.6286857142857
Australia,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1221.0749714285714
Austria,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3203.608552380952
Austria,Gasto de bolsillo per cápita (US$ actuales),1987,813.5738142857143
Austria,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1168.0069476190477
Brasil,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,288.9528619047619
Brasil,Gasto de bolsillo per cápita (US$ actuales),1987,192.88300476190477
Brasil,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,379.5422952380953
Burkina Faso,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,9.894542857142858
Burkina Faso,Gasto de bolsillo per cápita (US$ actuales),1987,9.542680952380952
Burkina Faso,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,11.18
China,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,129.14010476190475
China,Gasto de bolsillo per cápita (US$ actuales),1987,94.82004285714285
China,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,112.74772380952379
Canadá,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,3061.9016181818183
Canadá,Gasto de bolsillo per cápita (US$ actuales),1987,641.2424818181818
Canadá,Gasto interno privado en salud per cápita (US$ a precios actuales),1987,1244.6263727272728
Camboya,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),1987,12.383047619047618
