país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afganistán,AFG,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,,,,,,,,,,,,,,,,,11.6552,11.2714,10.9128,7.1998,22.5278,2.0963,-2.1634,3.8146,16.5933,7.3018,4.8228,0.5669,2.4476,-2.1975,2.4037,2.0713,6.5215,7.8217,0.4774,
Afganistán,AFG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,12.6863,6.7846,8.6806,26.4187,-6.8112,2.1785,11.8042,6.4412,7.3858,4.674,-0.6617,4.3839,4.976,0.6261,2.3024,,,
Alemania,DEU,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,1.2797,1.6905,2.8791,3.3966,3.0851,5.3062,3.8837,2.0516,1.9813,0.6023,0.2728,0.6885,0.3431,-0.4894,1.305,1.3781,1.3213,1.1156,0.4052,0.3973,1.7703,0.9093,1.8419,0.6453,1.0695,1.4965,1.9594,1.8779,1.8537,1.3278,1.5037,2.0075,2.1244,1.8108,3.0576,5.4828
Alemania,DEU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,0.2499,1.2741,2.7806,2.6965,4.047,5.057,4.4746,2.6931,1.7062,1.4497,1.9394,0.9112,0.5854,1.4403,1.9839,1.4208,1.0342,1.6657,1.5469,1.5774,2.2983,2.6284,0.3127,1.1038,2.0752,2.0085,1.5047,0.9068,0.5144,0.4917,1.5095,1.7322,1.4457,0.1449,3.0667,6.8726
Argelia,DZA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,8.842,9.061,16.0114,30.2596,53.7886,21.9261,13.6244,29.0776,28.577,24.0219,7.002,-3.1311,10.8563,22.678,-0.4734,1.3204,8.3307,12.2476,16.1254,10.5467,6.3953,15.3106,-11.1616,16.12,18.228,7.4583,-0.0933,-0.3006,-6.4557,1.5489,6.3907,6.7573,-0.4722,-5.0259,15.5672,19.7109
Argelia,DZA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,7.4413,5.9115,9.3044,16.6525,25.8864,31.6697,20.5403,29.0477,29.7796,18.6791,5.7335,4.9502,2.6455,0.3392,4.226,1.4183,4.269,3.9618,1.3824,2.3115,3.679,4.8586,5.7371,3.9111,4.5242,8.8915,3.2542,2.9169,4.7844,6.3977,5.5911,4.27,1.9518,2.4151,7.2261,9.2655
Arabia Saudita,SAU,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,6.7414,-8.9486,8.5775,7.1017,-2.2625,-0.2966,-1.6643,1.0949,5.8182,7.8429,3.4598,-13.9338,14.4884,10.9479,-1.6466,5.9568,2.3166,11.0565,20.1496,11.5724,8.4354,17.6898,-15.7132,17.1913,15.4121,3.994,-1.1967,-2.247,-16.5815,-2.817,7.4315,15.2215,-1.7648,-8.4632,13.8282,17.322
Arabia Saudita,SAU,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-1.5471,0.9076,1.0326,2.0772,4.8611,-0.077,1.0558,0.5643,4.8684,1.2221,0.0572,-0.3713,-1.3338,-1.125,-1.1209,0.2472,0.6122,0.5155,0.4792,2.209,4.1678,9.8702,5.0572,5.3394,5.8262,2.8663,3.5325,2.2363,1.2061,2.0688,-0.8382,2.4581,-2.0933,3.4455,3.0633,2.4741
Argentina,ARG,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,127.5399,381.2463,3046.0912,2078.3168,140.5024,16.072,-3.5611,2.8493,3.1651,-0.0524,-0.4639,-1.7053,-1.8366,1.0373,-1.0958,30.5552,10.4957,18.3634,10.3175,13.7411,14.9399,23.1712,15.3776,20.9151,23.7035,22.3149,23.9488,40.283,26.58,41.1194,26.0064,42.0337,49.1956,40.0769,54.1524,69.6829
Argentina,ARG,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,7.033,7.1753,9.2338,6.0968,3.0217,1.4789,0.8659,1.0178,2.2801,2.7175,1.2743,1.1871,0.4793,2.5604,4.6203,2.8441,2.9679,3.2371,3.8244,5.1174,4.9817,4.6167,4.9993,1.1578,6.2314,1.7932,-0.1536,1.4258,-0.5943,-0.6052,3.7433,1.8292,3.3977,1.7397,2.8009,7.1147
Australia,AUS,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,8.533,7.2159,7.5339,7.333,3.1767,1.0122,1.7537,1.9696,4.6278,2.6154,0.2249,0.8601,1.4831,4.4574,4.4071,2.9816,2.7326,2.3433,2.6918,3.5553,2.3276,4.3503,1.7711,2.9183,3.3039,1.7628,2.4499,2.4879,1.5084,1.277,1.9486,1.9114,1.6108,0.8469,2.8639,6.5941
Austria,AUT,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,2.4369,1.5269,2.9648,2.9997,3.6419,3.4791,2.7571,2.5249,1.8139,0.9862,1.267,0.4419,0.2563,1.364,1.9471,1.1456,1.3076,1.7397,2.5378,1.8922,2.2212,1.9563,1.8893,0.8731,1.8334,2.0542,1.6239,2.1757,2.301,1.8483,1.0055,1.8381,1.5467,2.5586,1.9434,4.9735
Austria,AUT,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,1.402,1.9157,2.5683,3.2619,3.3374,4.0208,3.6318,2.9534,2.2434,1.861,1.306,0.9225,0.569,2.3449,2.65,1.8104,1.3556,2.0612,2.2991,1.4415,2.1686,3.216,0.5063,1.8135,3.2866,2.4857,2.0002,1.6058,0.8966,0.8916,2.0813,1.9984,1.5309,1.3819,2.7667,8.5469
Brasil,BRA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,206.2087,627.9515,1304.4242,2736.9707,416.6781,969.013,1996.1502,2240.1689,93.978,18.4562,7.729,4.9244,8.0105,5.6061,8.2251,9.7981,14.091,7.7521,7.4312,6.7743,6.439,8.7786,7.3135,8.4233,8.3186,7.9431,7.5046,7.8467,7.5662,8.1036,3.6714,4.4935,4.2243,6.4725,11.3841,8.2832
Brasil,BRA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,228.3362,629.1145,1430.7237,2947.7328,432.7867,951.9621,1927.3808,2075.8884,66.007,15.7577,6.9267,3.1951,4.8584,7.0441,6.8404,8.4502,14.7149,6.5972,6.8695,4.1836,3.6413,5.6786,4.888,5.0387,6.6364,5.4035,6.2043,6.329,9.0299,8.7391,3.4464,3.6649,3.733,3.2118,8.3017,9.2801
Burkina Faso,BFA,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,1.2373,3.4086,4.8316,1.81,-3.9678,0.2271,-1.4418,14.639,6.7696,0.3487,1.5562,7.9403,17.3908,-0.8198,3.9616,3.057,1.4847,0.0906,3.7394,-0.6628,2.4923,9.1598,2.4055,3.7796,6.738,5.824,-2.1292,-0.6204,-2.224,2.6043,1.4163,1.074,1.6171,6.835,-0.8166,6.0542
Burkina Faso,BFA,"Inflación, precios al consumidor (% anual)",FP.CPI.TOTL.ZG,-2.6818,4.2556,-0.4818,-0.5043,2.1626,-1.9911,0.5535,25.1779,7.4588,6.0978,2.3187,5.0843,-1.0726,-0.3042,5.0074,2.1757,2.0346,-0.4002,6.415,2.3331,-0.2306,10.6598,2.6082,-0.7642,2.7598,3.8182,0.5337,-0.2581,0.7248,0.441,1.483,1.9559,-3.2334,1.8844,3.6535,14.2902
China,CHN,"Inflación, índice de deflación del PIB (% anual)",NY.GDP.DEFL.KD.ZG,5.0825,12.1077,8.6025,5.7112,6.7145,8.1903,15.1859,20.617,13.6657,6.5067,1.6166,-0.9003,-1.2631,2.0628,2.047,0.6021,2.6032,6.952,3.9037,3.9265,7.7497,7.7953,-0.2095,6.8814,8.0757,2.3312,2.1634,1.0311,-0.0029,1.4073,4.2327,3.4997,1.2867,0.4925,4.5533,2.2473
