país,factor_(serie),Año,Valor
Afganistán,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1987,13.366866666666668
Afganistán,"Esperanza de vida al nacer, total (años)",2002,56.454
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2011,16.5933
Afganistán,"Inflación, precios al consumidor (% anual)",2011,11.8042
Afganistán,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1990,13.366866666666668
Afganistán,"Nivel de instrucción, al menos ciclo superior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1990,10.617
Afganistán,"Nivel de instrucción, al menos escuela de nivel posterior a la secundaria completa, población de más de 25 años, total (%) (acumulativo)",1990,4.7049
Afganistán,"Esperanza de vida al nacer, mujeres (años)",2002,57.672
Afganistán,"Tasa de finalización del ciclo inferior de la educación secundaria, total (% del grupo etario pertinente)",1990,43.79088333333333
Afganistán,"Inflación, precios al consumidor (% anual)",2012,6.4412
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2013,4.8228
Afganistán,"Inflación, precios al consumidor (% anual)",2013,7.3858
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2014,0.5669
Afganistán,"Inflación, precios al consumidor (% anual)",2014,4.674
Afganistán,"Esperanza de vida al nacer, varones (años)",2001,54.272
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2012,7.3018
Afganistán,"Esperanza de vida al nacer, varones (años)",2002,55.227
Afganistán,"Inflación, precios al consumidor (% anual)",2010,2.1785
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2010,3.8146
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2004,11.2714
Afganistán,"Inflación, precios al consumidor (% anual)",2004,6.124626666666667
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2005,10.9128
Afganistán,"Inflación, precios al consumidor (% anual)",2005,12.6863
Afganistán,"Esperanza de vida al nacer, varones (años)",2003,56.032
Afganistán,"Esperanza de vida al nacer, mujeres (años)",2003,58.65
Afganistán,"Esperanza de vida al nacer, total (años)",2003,57.344
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2006,7.1998
Afganistán,"Inflación, precios al consumidor (% anual)",2006,6.7846
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2007,22.5278
Afganistán,"Inflación, precios al consumidor (% anual)",2007,8.6806
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2008,2.0963
Afganistán,"Inflación, precios al consumidor (% anual)",2008,26.4187
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2009,-2.1634
Afganistán,"Inflación, precios al consumidor (% anual)",2009,-6.8112
Afganistán,"Esperanza de vida al nacer, mujeres (años)",2001,57.344
Afganistán,"Inflación, precios al consumidor (% anual)",2003,6.124626666666667
Afganistán,"Esperanza de vida al nacer, total (años)",2001,55.798
Afganistán,"Inflación, precios al consumidor (% anual)",2015,-0.6617
Afganistán,"Esperanza de vida al nacer, total (años)",1999,54.846
Afganistán,"Esperanza de vida al nacer, varones (años)",1998,51.134
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1998,54.818
Afganistán,"Esperanza de vida al nacer, total (años)",1998,52.943
Afganistán,"Esperanza de vida al nacer, varones (años)",1997,52.153
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1997,55.151
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1999,56.3
Afganistán,"Esperanza de vida al nacer, total (años)",1997,53.634
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1996,54.806
Afganistán,"Esperanza de vida al nacer, total (años)",1996,53.243
Afganistán,"Esperanza de vida al nacer, varones (años)",1995,51.039
Afganistán,"Esperanza de vida al nacer, mujeres (años)",1995,54.087
Afganistán,"Esperanza de vida al nacer, total (años)",1995,52.544
Afganistán,"Nivel de instrucción, al menos ciclo inferior de la escuela secundaria completo, población de más de 25 años, total (%) (acumulativo)",1991,13.366866666666668
Afganistán,"Esperanza de vida al nacer, varones (años)",1996,51.722
Afganistán,"Esperanza de vida al nacer, varones (años)",1999,53.41
Afganistán,"Inflación, precios al consumidor (% anual)",2022,6.124626666666667
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2022,6.112894736842105
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2016,-2.1975
Afganistán,"Inflación, precios al consumidor (% anual)",2016,4.3839
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2017,2.4037
Afganistán,"Inflación, precios al consumidor (% anual)",2017,4.976
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2018,2.0713
Afganistán,"Inflación, precios al consumidor (% anual)",2018,0.6261
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2019,6.5215
Afganistán,"Inflación, precios al consumidor (% anual)",2019,2.3024
Afganistán,"Esperanza de vida al nacer, varones (años)",2000,53.762
Afganistán,"Esperanza de vida al nacer, mujeres (años)",2000,56.858
Afganistán,"Esperanza de vida al nacer, total (años)",2000,55.298
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2020,7.8217
Afganistán,"Inflación, precios al consumidor (% anual)",2020,6.124626666666667
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2021,0.4774
Afganistán,"Inflación, precios al consumidor (% anual)",2021,6.124626666666667
Afganistán,"Inflación, índice de deflación del PIB (% anual)",2015,2.4476
