Pais,Año,Indicador,Valor
AFG,1987,FP.CPI.TOTL.ZG,
AFG,1988,FP.CPI.TOTL.ZG,
AFG,1989,FP.CPI.TOTL.ZG,
AFG,1990,FP.CPI.TOTL.ZG,
AFG,1991,FP.CPI.TOTL.ZG,
AFG,1992,FP.CPI.TOTL.ZG,
AFG,1993,FP.CPI.TOTL.ZG,
AFG,1994,FP.CPI.TOTL.ZG,
AFG,1995,FP.CPI.TOTL.ZG,
AFG,1996,FP.CPI.TOTL.ZG,
AFG,1997,FP.CPI.TOTL.ZG,
AFG,1998,FP.CPI.TOTL.ZG,
AFG,1999,FP.CPI.TOTL.ZG,
AFG,2000,FP.CPI.TOTL.ZG,
AFG,2001,FP.CPI.TOTL.ZG,
AFG,2002,FP.CPI.TOTL.ZG,
AFG,2003,FP.CPI.TOTL.ZG,
AFG,2004,FP.CPI.TOTL.ZG,
AFG,2005,FP.CPI.TOTL.ZG,12.6862687216715
AFG,2006,FP.CPI.TOTL.ZG,6.78459655001657
AFG,2007,FP.CPI.TOTL.ZG,8.68057078513406
AFG,2008,FP.CPI.TOTL.ZG,26.4186641547444
AFG,2009,FP.CPI.TOTL.ZG,-6.81116108898995
AFG,2010,FP.CPI.TOTL.ZG,2.1785375238942
AFG,2011,FP.CPI.TOTL.ZG,11.8041858089129
AFG,2012,FP.CPI.TOTL.ZG,6.44121280934118
AFG,2013,FP.CPI.TOTL.ZG,7.38577178397857
AFG,2014,FP.CPI.TOTL.ZG,4.67399603536339
AFG,2015,FP.CPI.TOTL.ZG,-0.661709164713696
AFG,2016,FP.CPI.TOTL.ZG,4.38389195513914
AFG,2017,FP.CPI.TOTL.ZG,4.9759515055383
AFG,2018,FP.CPI.TOTL.ZG,0.626149149168811
AFG,2019,FP.CPI.TOTL.ZG,2.30237251516844
AFG,2020,FP.CPI.TOTL.ZG,
AFG,2021,FP.CPI.TOTL.ZG,
AFG,2022,FP.CPI.TOTL.ZG,
ARE,1987,FP.CPI.TOTL.ZG,
ARE,1988,FP.CPI.TOTL.ZG,
ARE,1989,FP.CPI.TOTL.ZG,
ARE,1990,FP.CPI.TOTL.ZG,
ARE,1991,FP.CPI.TOTL.ZG,
ARE,1992,FP.CPI.TOTL.ZG,
ARE,1993,FP.CPI.TOTL.ZG,
ARE,1994,FP.CPI.TOTL.ZG,
ARE,1995,FP.CPI.TOTL.ZG,
ARE,1996,FP.CPI.TOTL.ZG,
ARE,1997,FP.CPI.TOTL.ZG,
ARE,1998,FP.CPI.TOTL.ZG,
ARE,1999,FP.CPI.TOTL.ZG,
ARE,2000,FP.CPI.TOTL.ZG,
ARE,2001,FP.CPI.TOTL.ZG,
ARE,2002,FP.CPI.TOTL.ZG,
ARE,2003,FP.CPI.TOTL.ZG,
ARE,2004,FP.CPI.TOTL.ZG,
ARE,2005,FP.CPI.TOTL.ZG,
ARE,2006,FP.CPI.TOTL.ZG,
ARE,2007,FP.CPI.TOTL.ZG,
ARE,2008,FP.CPI.TOTL.ZG,12.2504202448139
ARE,2009,FP.CPI.TOTL.ZG,1.56181317449069
ARE,2010,FP.CPI.TOTL.ZG,0.877983288285896
ARE,2011,FP.CPI.TOTL.ZG,0.877346595685054
ARE,2012,FP.CPI.TOTL.ZG,0.662268900269082
ARE,2013,FP.CPI.TOTL.ZG,1.10111836375709
ARE,2014,FP.CPI.TOTL.ZG,2.34626865671642
ARE,2015,FP.CPI.TOTL.ZG,4.06996608361594
ARE,2016,FP.CPI.TOTL.ZG,1.61748808904194
ARE,2017,FP.CPI.TOTL.ZG,1.96682557818841
ARE,2018,FP.CPI.TOTL.ZG,3.06863379251991
ARE,2019,FP.CPI.TOTL.ZG,-1.93108114782168
ARE,2020,FP.CPI.TOTL.ZG,-2.07940317940942
ARE,2021,FP.CPI.TOTL.ZG,-0.013859944401233
ARE,2022,FP.CPI.TOTL.ZG,4.82788859594433
ARG,1987,FP.CPI.TOTL.ZG,
ARG,1988,FP.CPI.TOTL.ZG,
ARG,1989,FP.CPI.TOTL.ZG,
ARG,1990,FP.CPI.TOTL.ZG,
ARG,1991,FP.CPI.TOTL.ZG,
ARG,1992,FP.CPI.TOTL.ZG,
ARG,1993,FP.CPI.TOTL.ZG,
ARG,1994,FP.CPI.TOTL.ZG,
ARG,1995,FP.CPI.TOTL.ZG,
ARG,1996,FP.CPI.TOTL.ZG,
ARG,1997,FP.CPI.TOTL.ZG,
ARG,1998,FP.CPI.TOTL.ZG,
ARG,1999,FP.CPI.TOTL.ZG,
ARG,2000,FP.CPI.TOTL.ZG,
ARG,2001,FP.CPI.TOTL.ZG,
ARG,2002,FP.CPI.TOTL.ZG,
ARG,2003,FP.CPI.TOTL.ZG,
ARG,2004,FP.CPI.TOTL.ZG,
ARG,2005,FP.CPI.TOTL.ZG,
ARG,2006,FP.CPI.TOTL.ZG,
ARG,2007,FP.CPI.TOTL.ZG,
ARG,2008,FP.CPI.TOTL.ZG,
ARG,2009,FP.CPI.TOTL.ZG,
ARG,2010,FP.CPI.TOTL.ZG,
ARG,2011,FP.CPI.TOTL.ZG,
ARG,2012,FP.CPI.TOTL.ZG,
ARG,2013,FP.CPI.TOTL.ZG,
ARG,2014,FP.CPI.TOTL.ZG,
ARG,2015,FP.CPI.TOTL.ZG,
ARG,2016,FP.CPI.TOTL.ZG,
ARG,2017,FP.CPI.TOTL.ZG,
ARG,2018,FP.CPI.TOTL.ZG,
ARG,2019,FP.CPI.TOTL.ZG,
ARG,2020,FP.CPI.TOTL.ZG,
ARG,2021,FP.CPI.TOTL.ZG,
ARG,2022,FP.CPI.TOTL.ZG,
AUS,1987,FP.CPI.TOTL.ZG,8.53302162478083
AUS,1988,FP.CPI.TOTL.ZG,7.21593968766826
AUS,1989,FP.CPI.TOTL.ZG,7.53390256152692
AUS,1990,FP.CPI.TOTL.ZG,7.33302195235869
AUS,1991,FP.CPI.TOTL.ZG,3.17667536988686
AUS,1992,FP.CPI.TOTL.ZG,1.01223112610711
AUS,1993,FP.CPI.TOTL.ZG,1.75365344467641
AUS,1994,FP.CPI.TOTL.ZG,1.96963479688142
AUS,1995,FP.CPI.TOTL.ZG,4.62776659959758
AUS,1996,FP.CPI.TOTL.ZG,2.61538461538462
AUS,1997,FP.CPI.TOTL.ZG,0.224887556221881
AUS,1998,FP.CPI.TOTL.ZG,0.860134629768157
AUS,1999,FP.CPI.TOTL.ZG,1.48312940304038
AUS,2000,FP.CPI.TOTL.ZG,4.45743514797225
AUS,2001,FP.CPI.TOTL.ZG,4.4071353620147
AUS,2002,FP.CPI.TOTL.ZG,2.98157453936349
AUS,2003,FP.CPI.TOTL.ZG,2.73259596616783
AUS,2004,FP.CPI.TOTL.ZG,2.34325522482587
AUS,2005,FP.CPI.TOTL.ZG,2.69183168316831
AUS,2006,FP.CPI.TOTL.ZG,3.55528773727028
AUS,2007,FP.CPI.TOTL.ZG,2.32761128891476
AUS,2008,FP.CPI.TOTL.ZG,4.35029854990047
AUS,2009,FP.CPI.TOTL.ZG,1.77111716621252
AUS,2010,FP.CPI.TOTL.ZG,2.91834002677376
AUS,2011,FP.CPI.TOTL.ZG,3.30385015608744
AUS,2012,FP.CPI.TOTL.ZG,1.76278015613193
AUS,2013,FP.CPI.TOTL.ZG,2.44988864142539
AUS,2014,FP.CPI.TOTL.ZG,2.48792270531403
AUS,2015,FP.CPI.TOTL.ZG,1.50836672165921
AUS,2016,FP.CPI.TOTL.ZG,1.27699094497328
AUS,2017,FP.CPI.TOTL.ZG,1.94864740944522
AUS,2018,FP.CPI.TOTL.ZG,1.91140094445692
AUS,2019,FP.CPI.TOTL.ZG,1.61076787290379
AUS,2020,FP.CPI.TOTL.ZG,0.846905537459293
AUS,2021,FP.CPI.TOTL.ZG,2.86391042204995
AUS,2022,FP.CPI.TOTL.ZG,6.59409671341847
AUT,1987,FP.CPI.TOTL.ZG,1.40195271783978
AUT,1988,FP.CPI.TOTL.ZG,1.91571684671255
AUT,1989,FP.CPI.TOTL.ZG,2.56834829029368
AUT,1990,FP.CPI.TOTL.ZG,3.26187231878578
AUT,1991,FP.CPI.TOTL.ZG,3.3374270347479
AUT,1992,FP.CPI.TOTL.ZG,4.02084780038555
AUT,1993,FP.CPI.TOTL.ZG,3.63178524943182
AUT,1994,FP.CPI.TOTL.ZG,2.95340936761076
AUT,1995,FP.CPI.TOTL.ZG,2.24336631500904
AUT,1996,FP.CPI.TOTL.ZG,1.86097115760431
AUT,1997,FP.CPI.TOTL.ZG,1.30597857227694
AUT,1998,FP.CPI.TOTL.ZG,0.92246719668082
AUT,1999,FP.CPI.TOTL.ZG,0.568993765885587
