país,codigo_pais,factor_(serie),codigo_serie,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afganistán,AFG,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,,,0.1516,1.297,1.1862,1.3355,1.3553,1.8496,2.4466,2.3436,2.5501,2.9356,2.2844,2.8348,2.9856,3.1064,3.1222,3.4096,2.7733,2.4879,6.1311,2.6858,
Afganistán,AFG,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,,,14.5203,15.3332,18.1138,19.8271,22.2176,25.575,30.1387,31.4849,36.7965,38.3586,39.1898,40.5669,43.9721,47.0753,46.7139,50.5048,54.3732,57.0254,60.0667,62.7903,
Afganistán,AFG,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,,,14.5203,15.3332,18.1138,19.8271,22.2176,25.575,30.1387,31.4849,36.7965,38.3586,39.1898,40.5669,43.9721,47.0753,46.7139,50.5058,54.4835,57.0254,61.2048,62.9002,
Alemania,DEU,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,1833.3879,1834.4504,1998.0733,2440.5073,2625.7808,2692.6668,2782.2751,3144.0716,3515.1284,3536.6909,3490.3795,3798.9227,3595.1677,3897.2982,4087.5269,3559.0362,3665.8242,3929.0932,4251.8416,4227.0487,4651.7547,,
Alemania,DEU,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,288.0884,288.2667,322.8748,404.8302,485.2068,502.4265,536.5666,602.9514,659.3169,649.6435,643.8948,705.5896,675.4235,679.1858,690.4245,605.2361,614.9713,655.0565,726.2255,738.2104,743.7962,,
Alemania,DEU,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,510.9556,512.2189,569.4296,712.2869,834.0439,865.5464,915.7684,1038.8446,1154.6498,1138.2283,1121.0586,1238.5687,1170.5272,1202.5904,1219.8514,1065.5888,1077.1393,1135.7361,1252.1409,1251.054,1278.5774,,
Argelia,DZA,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,44.702,51.3301,50.3973,58.4682,66.3761,70.1942,80.3979,105.9231,149.6416,148.1016,159.8535,203.5994,245.5336,236.7045,260.065,206.3872,177.4308,171.2448,169.7875,162.9809,134.4669,,
Argelia,DZA,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,16.023,14.5913,15.0799,16.1228,24.2741,28.4599,34.1981,42.6326,54.3461,57.3516,66.4481,80.3629,86.5784,91.8256,96.2795,82.6269,80.9558,84.4773,84.1326,83.6852,76.9271,,
Argelia,DZA,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,17.3833,15.9772,16.5205,17.729,26.6047,31.0291,36.9738,45.7555,58.131,60.7258,70.1457,84.6571,91.0314,96.3897,100.9662,86.4508,84.6487,88.329,87.9929,87.4682,80.2991,,
Arabia Saudita,SAU,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,266.897,269.843,257.5385,268.4538,280.1364,333.3983,391.6867,394.8071,357.9451,420.0376,405.7311,554.2159,655.403,737.0699,878.4365,820.5473,865.6788,906.1096,907.644,,,,
Arabia Saudita,SAU,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,68.3888,67.0834,65.7136,66.5778,71.1357,75.8434,82.6174,93.8886,109.0193,118.6078,124.1129,129.0838,145.474,152.0845,161.6822,172.3611,176.8931,180.6434,205.2682,,,,
Arabia Saudita,SAU,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,103.5238,102.1465,98.5999,102.47,111.7751,126.4931,145.0007,166.1006,204.908,226.2994,249.3863,272.1241,304.4278,322.0244,352.4089,377.789,374.9229,355.0556,383.4846,,,,
Argentina,ARG,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,385.8289,368.2593,121.4679,142.7899,160.6907,200.9482,238.6248,309.1785,409.3296,468.7552,577.8154,725.4014,850.2487,900.0331,837.8237,1017.42,713.8523,964.1518,704.5697,613.2051,572.373,,
Argentina,ARG,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,205.1698,197.8818,66.7807,73.7273,85.7126,129.2318,147.0283,178.1093,224.8172,204.725,262.4815,323.4051,355.309,379.5228,346.3052,395.4825,339.836,394.2307,312.3998,256.9761,209.1102,,
Argentina,ARG,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,318.9011,301.7615,96.7994,117.2963,130.0161,185.2328,213.5347,258.8039,326.6979,310.7723,399.2238,470.1846,504.647,508.8661,436.0244,503.3041,431.9147,554.8214,414.4965,343.0039,288.8625,,
Australia,AUS,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,1175.622,1109.1652,1268.762,1598.5764,1979.1597,2165.2571,2289.0442,2781.6168,2970.5991,2929.1338,3600.1154,4329.0605,4325.1195,3957.4645,4307.1738,3782.2175,3878.0321,4145.2279,4193.4361,4099.9641,4431.0308,,
Australia,AUS,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,343.6242,318.8134,351.3284,429.0489,530.5957,592.0611,630.8025,725.0116,782.042,764.3872,982.6201,1132.9307,1210.3435,1140.9922,1094.2217,915.6669,924.2775,965.3109,951.3435,816.2151,812.5653,,
Australia,AUS,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,460.9066,450.6561,494.9337,642.1698,781.6711,848.8477,904.9866,1033.7197,1136.4139,1082.7989,1375.3557,1580.089,1746.5313,1885.7096,1832.2189,1542.1235,1575.9646,1671.0334,1670.9582,1455.4102,1470.0759,,
Austria,AUT,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,1682.8615,1680.9655,1834.3865,2260.8795,2590.1237,2695.6666,2828.7575,3260.4991,3732.0002,3590.6053,3475.5682,3756.4369,3618.982,3778.2967,3911.2834,3342.2683,3408.0496,3645.7023,3975.2571,3941.7404,4265.4493,,
Austria,AUT,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,404.4087,421.42,464.935,583.8848,693.836,711.7752,730.2444,842.2834,922.7345,889.7457,893.0256,968.4266,927.3733,1003.6804,1030.0796,880.6394,906.3381,945.9394,983.4009,942.3537,938.5254,,
Austria,AUT,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,586.2649,601.5505,663.4797,830.3607,1004.5268,1014.731,1054.2243,1218.2692,1325.7606,1338.3823,1325.225,1411.3815,1347.1138,1457.0446,1482.3187,1270.5557,1301.825,1293.2175,1361.9609,1320.3143,1319.6389,,
Brasil,BRA,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,129.3259,110.3863,104.129,107.2745,125.6144,159.6778,207.7339,255.1859,308.4505,317.7222,402.3887,457.489,413.5429,435.3187,446.5047,338.4918,342.7534,391.2318,354.7382,346.473,313.5775,,
Brasil,BRA,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,113.6606,101.5685,89.4362,88.7942,104.1113,137.6044,166.3291,198.7751,217.7742,224.5353,262.6376,301.2246,283.0784,275.5201,285.6261,193.3408,194.3726,229.3484,214.3122,211.5864,156.907,,
Brasil,BRA,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,180.2998,157.5016,140.7573,142.5416,167.2073,223.6144,275.6717,344.959,396.306,400.6317,489.1882,567.1096,538.9722,541.8338,565.6649,443.4042,452.5932,545.4903,507.806,502.7192,386.1162,,
Burkina Faso,BFA,Gasto nacional en salud del gobierno general per cápita (US$ a precios actuales),SH.XPD.GHED.PC.CD,,,,,,,,,,,,,,2.4013,2.5305,3.0338,3.5661,6.8918,5.4166,6.5445,7.4005,8.4646,9.9143,8.1941,9.7951,7.8132,12.2911,12.484,9.205,15.8912,18.6508,16.5791,17.1731,23.5447,,
Burkina Faso,BFA,Gasto de bolsillo per cápita (US$ actuales),SH.XPD.OOPC.PC.CD,,,,,,,,,,,,,,3.1071,3.2143,3.261,3.8178,5.2047,5.375,6.37,7.4087,8.9479,9.6481,9.9154,11.122,10.9399,14.223,13.0761,11.6882,12.4418,13.6441,13.975,14.2489,18.7673,,
Burkina Faso,BFA,Gasto interno privado en salud per cápita (US$ a precios actuales),SH.XPD.PVTD.PC.CD,,,,,,,,,,,,,,3.3989,3.5179,3.5951,4.2392,5.6426,5.891,6.7924,7.9986,9.8396,11.2658,11.0577,12.9941,13.0608,17.6028,16.8295,15.232,14.4465,16.6692,16.5015,17.4091,20.7957,,
