Pais,Continente,GDP per capita (current US$),"Inflation, GDP deflator (annual %)","Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Population growth (annual %),ratio_population ages 65 and above,ratio_urban population,Urban population growth (annual %)
Afghanistan,Asia,0.0,0.0,0.0,62.8438,2.9292667551055183,0.024091349215158087,0.2576780032460267,3.937778157037566
Algeria,Africa,3876.636702648602,4.643433662852261,4.2908136679610696,75.8226,1.817986542684194,0.058448855272729715,0.7317280033062558,2.587228011939752
Argentina,Sudamérica,11100.883303515493,42.29298445349254,0.0,76.4796,0.9927769380020486,0.11588032336176417,0.9199000017304657,1.123749587082888
Australia,Oceania,55649.756423890045,2.7021527281338757,1.8363264372630348,82.92975609756098,1.2010042679363206,0.1596440288282357,0.8612859973272033,1.3315798144660114
Austria,Europa,50282.610191060776,1.778455962186874,1.9518243739726038,81.53268292682928,0.4954430166001596,0.18973625600792787,0.5852979909170009,0.8684189487697995
Brazil,Sudamérica,8496.70945263285,6.049148857831482,4.47152552803069,74.4066,0.7091812983042788,0.09000190368250968,0.8681840001253047,1.0033738066110218
Burkina Faso,Africa,797.7751443278137,2.025152534969219,1.14870509369346,59.724599999999995,2.7354751466404723,0.02561385571992038,0.2998559989281252,4.829882941663972
Cambodia,Asia,1561.749482273046,2.06166475115951,2.63506513088329,70.3536,1.1979128060408961,0.05032803277571809,0.2381459970621438,2.964983926632176
Canada,América del Norte,46751.935345577476,2.903483839136598,1.9853143285419663,82.03454146341467,1.1394662292440638,0.1760723519114831,0.81491599788233,1.2261168058834413
Chad,Africa,682.8492612787138,1.928807142463431,1.0913766365694237,52.738800000000005,3.264345191521792,0.020289704504538587,0.2329940005051311,4.215057273024408
China,Asia,10378.507186057192,2.8129815990608287,1.9935195188150083,77.8496,0.35099020547737814,0.12039307994962431,0.6027199999999919,2.2899823795255
Colombia,Sudamérica,6231.1028700868,4.582954527937836,3.419918897702364,75.549,1.570509249274934,0.08199638710516086,0.8109860043927559,1.9738644486534942
Costa Rica,América del Norte,12377.4276294332,2.0737565287671798,1.6788913855369778,78.9176,0.826926978585149,0.09895824089097795,0.80034395663737,1.7544601070728418
Cuba,América del Norte,8105.07897034206,85.3673121338349,0.0,76.7772,-0.15158678598487874,0.1523675342042941,0.771217990173122,-0.057696480641211564
Denmark,Europa,61543.63776229926,1.6711083934376365,0.9985261247100417,81.30292682926833,0.4444752824790984,0.19794710150133935,0.879961971049043,0.5804734129851896
Ecuador,Sudamérica,6082.26879600352,1.2881906963889873,0.050724770332331005,75.43719999999999,1.587583367676948,0.07373067559094561,0.6400079982596338,1.84623737420903
Egypt,Africa,3089.341020747612,15.067097418594779,12.663971212579977,71.0476,1.81484292796532,0.046239006075369286,0.42756799861962075,1.8755948690845758
Fiji,Oceania,5475.511498754438,0.140993923996648,1.3525538023768446,67.7062,0.13541157143440294,0.05350234394511257,0.5674541902070516,1.0224945645923396
Finland,Europa,49537.818444490884,1.6229520342906063,1.0694117679729873,81.8429268292683,0.165686610921723,0.22039719572440863,0.8545320068525448,0.2408299151939856
Germany,Europa,47472.38680923588,2.100805405062732,1.5797736020257644,81.02409756097563,0.20475827040109124,0.21734802351944998,0.7738919977995709,0.2874629554673098
Greece,Europa,19066.98155799974,0.1551303406949782,0.3951449820380896,81.23707317073172,-0.251670299404342,0.2191224791391797,0.7938459902055837,0.16519802151494659
India,Asia,2026.7716386652999,4.708817956088868,4.550269964993924,69.8954,1.0041799871551373,0.06448334990772764,0.34484200000279797,2.294310023554552
Japan,Asia,39763.039638775095,0.25537603014111876,0.3367443880212334,84.33453658536585,-0.22067327511415719,0.2920314594116496,0.9169959994290832,-0.13121397831231302
Kenya,Africa,1899.552758704792,5.070359414725928,5.889425276505264,62.4404,2.0278721546346263,0.027455135497448317,0.2751739988160188,3.778503578206864
Mexico,América del Norte,9627.442398214887,5.022859023426494,4.732562289512709,72.5402,0.8358038238298757,0.07825940656256292,0.8044280000138142,1.1942351968871696
Morocco,Africa,3466.6499023437523,1.0172585611304812,0.9939786996582622,73.9756,1.091551013835592,0.06875176989157379,0.6299040008327387,1.954352296313274
Nepal,Asia,1148.75324789515,5.457708288880239,4.479444396808522,69.02860000000001,1.502569292485318,0.05934763832431461,0.20162599253164096,3.5729999568329758
Netherlands,Europa,52813.34187040996,2.215570262573324,1.9333672459916582,81.7009756097561,0.5818479296627794,0.19297962613998285,0.9185019870523791,1.004772809517017
New Zealand,Oceania,44140.26111340178,3.037171347992562,2.144879784448502,82.0170731707317,1.618306431978025,0.15335147179997238,0.8662139544051591,1.708152833896279
Niger,Africa,557.6578279846321,1.4045090945051157,2.0020491973433137,62.107600000000005,3.76289997531426,0.02423914960966551,0.16533799563258567,4.321028114072952
Norway,Europa,78870.13583765,4.9721574431139235,2.3156254867228463,82.94000000000003,0.6532710010595152,0.17419103137519726,0.8260640013587871,1.0993813404350854
